# Synthetic data for the 'Coding with AI Agents' workshop (Block 3, HCI text-entry study). Not real participants. Load with pandas.read_csv(comment='#') or skiprows=1.
participant_id,interface,presentation_order,wpm,error_rate
P01,qwerty,1,42.4,0.049
P01,swipe,2,42.4,0.057
P01,predictive,3,33.9,0.061
P02,qwerty,1,36.5,0.043
P02,swipe,3,31.5,0.083
P02,predictive,2,27.7,0.051
P03,qwerty,2,46.6,0.018
P03,swipe,1,41.4,0.06
P03,predictive,3,37.4,0.037
P04,qwerty,3,49.7,0.035
P04,swipe,1,43.5,0.081
P04,predictive,2,41.1,0.043
P05,qwerty,2,32.0,0.021
P05,swipe,3,24.0,0.077
P05,predictive,1,22.1,0.044
P06,qwerty,3,34.0,0.035
P06,swipe,2,30.7,0.065
P06,predictive,1,24.9,0.057
P07,qwerty,1,41.4,0.047
P07,swipe,2,9.8,0.31
P07,predictive,3,33.5,0.025
P08,qwerty,1,37.6,0.025
P08,swipe,3,36.5,0.064
P08,predictive,2,35.3,0.061
P09,qwerty,2,39.9,0.026
P09,swipe,1,36.7,0.044
P09,predictive,3,34.4,0.041
P10,qwerty,3,34.3,0.032
P10,swipe,1,32.9,0.094
P10,predictive,2,27.9,0.053
P11,qwerty,2,47.2,0.053
P11,swipe,3,43.6,0.052
P11,predictive,1,37.6,0.044
P12,qwerty,3,44.2,0.037
P12,swipe,2,40.1,0.075
P12,predictive,1,40.3,0.094
P13,qwerty,1,42.8,0.008
P13,swipe,2,38.5,0.064
P13,predictive,3,32.8,0.066
P14,qwerty,1,48.6,0.024
P14,swipe,3,42.1,0.069
P14,predictive,2,45.8,0.065
P15,qwerty,2,43.4,0.026
P15,swipe,1,39.0,0.058
P15,predictive,3,38.4,0.064
P16,qwerty,3,37.2,0.039
P16,swipe,1,31.2,0.063
P16,predictive,2,28.7,0.052
P17,qwerty,2,43.4,0.06
P17,swipe,3,40.2,0.087
P17,predictive,1,36.7,0.053
P18,qwerty,3,33.9,0.065
P18,swipe,2,37.1,0.064
P18,predictive,1,32.0,0.071
P19,qwerty,1,45.3,0.034
P19,swipe,2,42.7,0.075
P19,predictive,3,42.8,0.06
P20,qwerty,1,38.8,0.027
P20,swipe,3,35.4,0.065
P20,predictive,2,35.5,0.05
P21,qwerty,2,39.5,0.055
P21,swipe,1,37.6,0.068
P21,predictive,3,31.2,0.054
P22,qwerty,3,37.8,0.041
P22,swipe,1,33.9,0.098
P22,predictive,2,28.0,0.028
P23,qwerty,2,47.8,0.058
P23,swipe,3,43.6,0.038
P23,predictive,1,40.5,0.042
P24,qwerty,3,39.1,0.014
P24,swipe,2,34.5,0.051
P24,predictive,1,30.9,0.094
P25,qwerty,1,37.1,0.045
P25,swipe,2,40.3,0.066
P25,predictive,3,32.8,0.044
P26,qwerty,1,39.1,0.036
P26,swipe,3,34.8,0.062
P26,predictive,2,32.5,0.052
P27,qwerty,2,45.5,0.04
P27,swipe,1,39.4,0.069
P27,predictive,3,43.7,0.056
P28,qwerty,3,42.4,0.044
P28,swipe,1,38.0,0.074
P28,predictive,2,36.8,0.064
P29,qwerty,2,45.0,0.033
P29,swipe,3,40.5,0.066
P29,predictive,1,35.7,0.052
P30,qwerty,3,48.4,0.036
P30,swipe,2,40.4,0.064
P30,predictive,1,33.8,0.076
